Database,Total Questions,Exact Match Upper Bound,Partial Match Upper Bound,Selected Exact Match,Selected Partial Match,Exact Match Upper Accuracy,Partial Match Upper Accuracy,Selected Exact Match Accuracy,Selected Partial Match Accuracy,Average Path Length,Average Consistency Score
toxicology,31,26,26,25,25,0.8387096774193549,0.8387096774193549,0.8064516129032258,0.8064516129032258,5.70844939647168,0.6553609776287148
financial,25,21,22,18,18,0.84,0.88,0.72,0.72,5.728297632468997,0.6800023685836039
california_schools,23,20,20,17,18,0.8695652173913043,0.8695652173913043,0.7391304347826086,0.782608695652174,5.662025316455696,0.66600854743927
codebase_community,24,19,20,18,18,0.7916666666666666,0.8333333333333334,0.75,0.75,5.711700844390832,0.7959328226682341
superhero,30,28,28,27,27,0.9333333333333333,0.9333333333333333,0.9,0.9,5.766698935140368,0.8947389514535852
formula_1,29,22,22,19,19,0.7586206896551724,0.7586206896551724,0.6551724137931034,0.6551724137931034,5.791666666666667,0.6687601862194947
card_games,29,24,24,23,23,0.8275862068965517,0.8275862068965517,0.7931034482758621,0.7931034482758621,5.743793445878848,0.6624366810029046
thrombosis_prediction,31,22,23,19,20,0.7096774193548387,0.7419354838709677,0.6129032258064516,0.6451612903225806,5.732093023255814,0.7324476962308073
student_club,27,27,27,23,23,1.0,1.0,0.8518518518518519,0.8518518518518519,5.743617021276596,0.7379086196095733
debit_card_specializing,22,17,17,14,14,0.7727272727272727,0.7727272727272727,0.6363636363636364,0.6363636363636364,5.773560209424084,0.6633270065843799
